date,var_1,var_2,var_3,var_4,label
2016-17 01,289,4558,59763,8.110369292036879,
2016-17 02,368,4505,60980,7.991144637586093,
2016-17 03,373,4621,59293,8.422579393857623,
2016-17 04,367,4427,58047,8.258824745464882,
2016-17 05,351,4452,58432,8.219811062431544,
2016-17 06,419,4448,59038,8.24384294860937,
2016-17 07,545,4419,58479,8.488517245506934,
2016-17 08,605,4369,58288,8.53348888278891,
2016-17 09,534,4260,57256,8.3729216152019,
2016-17 10,472,4223,57477,8.168484785218435,
2016-17 11,376,4100,56656,7.900310646709969,
2016-17 12,319,4091,57045,7.730738890349724,
2016-17 13,333,3887,55703,7.575893578442813,
2016-17 14,266,3821,55159,7.409488931996591,
2016-17 15,208,3776,54861,7.261989391370919,
2016-17 16,162,3489,53070,6.879592990390052,
2016-17 17,90,3458,53295,6.657284923538794,
2016-17 18,63,3308,52657,6.401807926771369,
2016-17 19,50,3216,51985,6.28258151389824,
2016-17 20,53,3201,52480,6.2004573170731705,
2016-17 21,24,3091,50972,6.111198304951738,
2016-17 22,23,3019,51256,5.934914936787888,
2016-17 23,17,3127,51418,6.114590221323272,
2016-17 24,19,3069,50797,6.079099159399177,
2016-17 25,15,2982,51195,5.8540873132141815,
2016-17 26,10,2954,50617,5.855740166347275,
2016-17 27,18,2824,50959,5.577032516336663,
2016-17 28,4,3047,49973,6.1052968603045645,
2016-17 29,10,2755,50127,5.515989386957129,
2016-17 30,3,2853,49362,5.785827154491309,
2016-17 31,4,2695,50087,5.3886237945974,
2016-17 32,6,2723,50237,5.43225112964548,
2016-17 33,11,2689,50185,5.380093653482116,
2016-17 34,7,2756,49517,5.57990185188925,
2016-17 35,7,2716,50832,5.356861819326408,
2016-17 36,12,2825,50981,5.564818265628372,
2016-17 37,7,3021,51694,5.857546330328471,
2016-17 38,16,2935,51230,5.760296701151669,
2016-17 39,19,2888,51343,5.661920807120737,
2016-17 40,18,3026,51411,5.920911867110151,
2016-17 41,11,3194,52143,6.146558502579445,
2016-17 42,7,3178,51460,6.189273221919938,
2016-17 43,17,3130,51876,6.066389081656257,
2016-17 44,16,3100,51767,6.01927869105801,
2016-17 45,19,3208,52542,6.141753264055422,
2016-17 46,7,3193,53464,5.985335926978902,
2016-17 47,22,3258,53169,6.169008256690929,
2016-17 48,34,3516,54607,6.5009980405442525,
2016-17 49,33,3618,55169,6.617846979281842,
2016-17 50,46,3782,56020,6.833273830774724,
2016-17 51,92,3739,56754,6.750185008986151,
2016-17 52,157,4108,57655,7.397450351227127,
2017-18 01,1165,5156,66134,9.557867360208062,
2017-18 02,1536,5583,67495,10.547447959108082,
2017-18 03,1626,5412,64646,10.886984500201097,
2017-18 04,1448,5187,62780,10.568652437081871,
2017-18 05,1360,4877,60974,10.22895004428117,
2017-18 06,1243,4689,61110,9.707085583374244,
2017-18 07,1179,4599,59779,9.665601632680373,
2017-18 08,892,4426,57793,9.20180644714758,
2017-18 09,738,4044,56692,8.435052564735765,
2017-18 10,507,4061,57093,8.000980855796683,
2017-18 11,444,3853,56326,7.628803749600539,
2017-18 12,345,3793,55766,7.420291934153426,
2017-18 13,284,3779,54918,7.398302924359955,
2017-18 14,300,3698,55294,7.230440915831735,
2017-18 15,214,3590,55228,6.887810530890129,
2017-18 16,153,3430,54038,6.630519264221474,
2017-18 17,119,3394,53727,6.53861187112625,
2017-18 18,106,3198,53741,6.148006177778605,
2017-18 19,53,3032,52105,5.920736973419058,
2017-18 20,43,2955,50618,5.922794262910427,
2017-18 21,26,2951,50929,5.84539260539182,
2017-18 22,26,2905,51045,5.741992359682633,
2017-18 23,14,2908,52001,5.61912270917867,
2017-18 24,14,2935,51387,5.738805534473699,
2017-18 25,7,2865,51044,5.626518297939033,
2017-18 26,9,2868,50855,5.65726083964212,
2017-18 27,10,2769,51684,5.376905812243635,
2017-18 28,5,2781,51191,5.442362915356215,
2017-18 29,8,2706,50609,5.362682526823292,
2017-18 30,12,2700,50274,5.394438477145244,
2017-18 31,4,2661,50637,5.262950016786144,
2017-18 32,10,2673,50967,5.264190554672632,
2017-18 33,5,2616,50301,5.210631995387765,
2017-18 34,10,2713,50459,5.396460492677223,
2017-18 35,6,2630,50611,5.208353915156784,
2017-18 36,6,2749,50299,5.477246068510308,
2017-18 37,8,2761,51083,5.420590020163264,
2017-18 38,11,2819,51583,5.486303627163988,
2017-18 39,14,2814,50959,5.549559449753724,
2017-18 40,16,3022,52110,5.82997505277298,
2017-18 41,18,3001,51578,5.853270774361162,
2017-18 42,28,3156,52228,6.096346787163974,
2017-18 43,23,3279,52548,6.283778640481084,
2017-18 44,36,3215,53679,6.056372138080068,
2017-18 45,45,3180,53258,6.055428292463104,
2017-18 46,50,3315,53771,6.2580201223707945,
2017-18 47,48,3202,54120,6.005173688100517,
2017-18 48,83,3493,54760,6.530314097881665,
2017-18 49,118,3528,55595,6.558143717960248,
2017-18 50,165,3759,57370,6.839811748300506,
2017-18 51,359,3987,59505,7.303587933787077,
2017-18 52,671,4418,61090,8.330332296611557,
2018-19 01,211,3919,58285,7.085871150381745,
2018-19 02,259,4055,58350,7.393316195372751,
2018-19 03,246,4098,58206,7.463148129058859,
2018-19 04,276,3898,57892,7.209977198922131,
2018-19 05,327,3893,58137,7.2587164800385295,
2018-19 06,367,3890,58513,7.27530634218037,
2018-19 07,483,3896,57988,7.55156239221908,
2018-19 08,474,3987,57984,7.69350165562914,
2018-19 09,516,3758,57957,7.374432769121936,
2018-19 10,543,3752,58529,7.338242580601069,
2018-19 11,511,3978,57893,7.753959891524019,
2018-19 12,480,3797,57077,7.493386127511957,
2018-19 13,459,3714,56661,7.364854132472071,
2018-19 14,339,3633,56588,7.019156004806673,
2018-19 15,303,3450,55477,6.764965661445284,
2018-19 16,202,3414,54458,6.63997943369202,
2018-19 17,156,3273,53644,6.392140779956752,
2018-19 18,97,3223,53971,6.151451705545571,
2018-19 19,68,3229,53454,6.167920080817151,
2018-19 20,50,3158,53563,5.9892089688777705,
2018-19 21,30,3149,53679,5.92224147245664,
2018-19 22,29,3117,52709,5.968620159745015,
2018-19 23,21,3045,53124,5.77140275581658,
2018-19 24,16,2934,52633,5.604848669085935,
2018-19 25,13,2952,52272,5.67225283134374,
2018-19 26,15,2898,52186,5.581956846663856,
2018-19 27,13,2864,52331,5.497697349563356,
2018-19 28,11,2770,51911,5.357246055749263,
2018-19 29,5,2679,51636,5.197923929041754,
2018-19 30,8,2762,51645,5.363539548843063,
2018-19 31,6,2737,51397,5.336887366966944,
2018-19 32,7,2645,51728,5.126817197649243,
2018-19 33,8,2601,50984,5.117291699356661,
2018-19 34,6,2602,50999,5.113825761289437,
2018-19 35,13,2618,51143,5.144399037991514,
2018-19 36,12,2583,51805,5.009168999131358,
2018-19 37,16,2515,51610,4.904088354969967,
2018-19 38,14,2709,51741,5.26275100983746,
2018-19 39,16,2780,52740,5.301478953356086,
2018-19 40,10,2969,52357,5.689783601046661,
2018-19 41,12,2865,51849,5.548805184285135,
2018-19 42,18,2989,52979,5.675833820947923,
2018-19 43,24,3065,53763,5.7455871138143335,
2018-19 44,25,3003,53638,5.64525150080167,
2018-19 45,30,3022,53561,5.6981759115774535,
2018-19 46,26,3143,54698,5.79363048009068,
2018-19 47,31,3178,54847,5.8508213758273016,
2018-19 48,38,3287,55060,6.038866690882673,
2018-19 49,56,3399,55967,6.173280683259779,
2018-19 50,51,3552,56387,6.38977069182613,
2018-19 51,88,3490,56528,6.329606566657232,
2018-19 52,141,3636,56026,6.741512869025096,
2019-20 01,432,4102,60028,7.553141867128674,
2019-20 02,472,4137,60588,7.607116920842411,
2019-20 03,465,4057,59217,7.636320651164362,
2019-20 04,498,3905,59020,7.46018298881735,
2019-20 05,480,3810,58701,7.308223028568508,
2019-20 06,519,3816,59355,7.303512762193582,
2019-20 07,560,3839,58699,7.4941651476175055,
2019-20 08,566,3711,58771,7.27739871705433,
2019-20 09,655,3837,59203,7.587453338513252,
2019-20 10,634,3976,59570,7.738794695316434,
2019-20 11,625,3971,58553,7.849298925759568,
2019-20 12,558,4543,59096,8.631717882767024,
2019-20 13,445,6169,62873,10.519618914319343,
2019-20 14,476,9911,72145,14.397394136807817,
2019-20 15,473,11988,78946,15.784206926253388,
2019-20 16,263,11405,76697,15.213111334211249,
2019-20 17,143,10369,73774,14.248922384579934,
2019-20 18,66,8929,69181,13.002124860872206,
2019-20 19,48,7825,66709,11.80200572636376,
2019-20 20,22,6779,64399,10.560722992593051,
2019-20 21,24,5894,61520,9.619635890767231,
2019-20 22,12,5266,59595,8.856447688564478,
2019-20 23,11,4895,58804,8.34296986599551,
2019-20 24,11,4539,57920,7.855662983425414,
2019-20 25,8,4363,57904,7.5487012987013,
2019-20 26,12,4271,58392,7.33490889162899,
2019-20 27,4,4559,59702,7.642960034839703,
2019-20 28,10,5535,61800,8.972491909385113,
2019-20 29,13,6182,62998,9.833645512555954,
2019-20 30,11,6765,64122,10.567355977667573,
2019-20 31,13,6840,64121,10.687606244444098,
2019-20 32,10,6805,63576,10.719453881968038,
2019-20 33,5,6508,63511,10.254916471162476,
2019-20 34,12,5968,62440,9.577194106342088,
2019-20 35,12,5541,60980,9.106264348966874,
2019-20 36,9,5204,60126,8.670126068589296,
2019-20 37,7,4942,59548,8.31094243299523,
2019-20 38,5,4772,59638,8.009993628223617,
2019-20 39,4,4933,60506,8.15952136978151,
2019-20 40,17,2714,52536,5.198340185777372,
2019-20 41,16,2782,53067,5.272579946105866,
2019-20 42,18,2992,54314,5.541849246971315,
2019-20 43,30,2995,54035,5.598223373739243,
2019-20 44,31,2928,54065,5.473041709053916,
2019-20 45,31,3081,55665,5.590586544507321,
2019-20 46,39,3106,55856,5.630549985677456,
2019-20 47,50,3014,56159,5.455937605726597,
2019-20 48,66,2996,55422,5.524881815885388,
2019-20 49,101,3329,57249,5.991371028314905,
2019-20 50,111,3480,57623,6.231886573069781,
2019-20 51,129,3392,57399,6.134253209986237,
2019-20 52,203,3539,58443,6.40281984155502,
2020-21 01,32,16800,86888,19.37206518736765,
2020-21 02,36,16884,87232,19.39655172413793,
2020-21 03,31,15777,83539,18.92289828702761,
2020-21 04,34,13832,79051,17.540575071789096,
2020-21 05,28,12257,76350,16.090373280943027,
2020-21 06,24,10202,71387,14.324736996932211,
2020-21 07,15,8921,69373,12.881092067519065,
2020-21 08,18,7520,66619,11.315090289557034,
2020-21 09,26,6579,63578,10.388813740602094,
2020-21 10,13,5769,61752,9.363259489571188,
2020-21 11,6,5306,60245,8.81732923894099,
2020-21 12,17,5088,60712,8.408551851363816,
2020-21 13,17,4757,58569,8.151069678498866,
2020-21 14,12,4954,60884,8.156494317061954,
2020-21 15,7,4952,59020,8.402236529989834,
2020-21 16,15,5122,60147,8.540741849136282,
2020-21 17,6,4873,59688,8.174172362954026,
2020-21 18,9,4771,58890,8.116827984377654,
2020-21 19,10,4529,58334,7.781053930812219,
2020-21 20,9,4350,58634,7.434253163693421,
2020-21 21,5,4017,57217,7.029379380254121,
2020-21 22,8,3883,57352,6.78441902636351,
2020-21 23,6,3748,57001,6.585849371063665,
2020-21 24,11,3691,57106,6.4826813294575,
2020-21 25,8,3474,56765,6.134061481546728,
2020-21 26,7,3384,57403,5.907356758357577,
2020-21 27,3,3554,57051,6.234772396627579,
2020-21 28,8,3833,57061,6.731392720071503,
2020-21 29,9,4229,58323,7.266430053323732,
2020-21 30,10,5094,60182,8.480941145192915,
2020-21 31,11,6534,63602,10.290556900726394,
2020-21 32,11,8489,66880,12.70933014354067,
2020-21 33,11,10163,69810,14.573843288927089,
2020-21 34,16,11500,71976,15.999777703679005,
2020-21 35,32,12316,73352,16.833896826262407,
2020-21 36,15,12325,73565,16.774281247876026,
2020-21 37,17,12169,73144,16.66028655802253,
2020-21 38,18,11511,72034,16.004942110669962,
2020-21 39,19,10683,71197,15.031532227481495,
2020-21 40,8,4829,59712,8.100549303322616,
2020-21 41,12,5186,61672,8.42846024127643,
2020-21 42,16,5218,60507,8.650238815343679,
2020-21 43,15,5646,62093,9.116969706730227,
2020-21 44,21,6145,63327,9.73676314999921,
2020-21 45,21,7090,67473,10.539030426985608,
2020-21 46,20,8060,68729,11.75631829358786,
2020-21 47,30,9419,71539,13.208180153482717,
2020-21 48,27,10465,73182,14.336858790412943,
2020-21 49,35,12071,77275,15.66612746683921,
2020-21 50,29,13269,81861,16.24460976533392,
2020-21 51,32,14293,82800,17.30072463768116,
2020-21 52,32,14894,84224,17.72178951367781,
2020-21 53,43,16037,86858,18.512975200902623,
2021-22 01,187,11815,79681,15.062561965838784,
2021-22 02,141,13527,84956,16.08832807570978,
2021-22 03,149,14398,85537,17.006675473771583,
2021-22 04,93,14249,84943,16.88426356497887,
2021-22 05,89,13234,81212,16.40521105255381,
2021-22 06,85,11092,77139,14.48942817511246,
2021-22 07,67,9152,70910,13.000987166831193,
2021-22 08,65,7303,66067,11.152315074091453,
2021-22 09,62,6119,64420,9.594846321018318,
2021-22 10,65,4833,61811,7.924155894581871,
2021-22 11,64,4404,60530,7.381463736989922,
2021-22 12,84,3942,58517,6.880051950715177,
2021-22 13,75,3618,57996,6.367680529691704,
2021-22 14,95,3342,57781,5.948322112805247,
2021-22 15,94,3415,57777,6.073350987417139,
2021-22 16,106,3310,56658,6.029157400543612,
2021-22 17,95,3321,57278,5.963895387408778,
2021-22 18,82,3258,57450,5.813751087902523,
2021-22 19,100,3382,57858,6.018182446679803,
2021-22 20,89,3512,57595,6.252278843649623,
2021-22 21,83,3367,57036,6.048811277088155,
2021-22 22,83,3530,57525,6.280747501086484,
2021-22 23,71,3525,58007,6.199251814436189,
2021-22 24,74,3565,57702,6.3065405011958,
2021-22 25,35,3508,58240,6.083447802197802,
2021-22 26,40,3476,58010,6.061023961385968,
2021-22 27,35,3589,58112,6.236233480176211,
2021-22 28,17,3592,58396,6.1802178231385705,
2021-22 29,24,3810,59727,6.419207393641067,
2021-22 30,23,3816,58741,6.535469263376517,
2021-22 31,16,3810,59158,6.467426214544101,
2021-22 32,15,3841,58563,6.584362139917696,
2021-22 33,19,3733,58408,6.423777564717162,
2021-22 34,14,3693,58254,6.3635115185223325,
2021-22 35,12,3573,58047,6.1760297689803085,
2021-22 36,19,3611,58661,6.188097713983737,
2021-22 37,17,3595,58223,6.203733919585043,
2021-22 38,20,3590,58718,6.148029565039681,
2021-22 39,23,3578,58522,6.153241516011073,
2021-22 40,20,9741,68969,14.152735286868012,
2021-22 41,11,8853,67422,13.14704399157545,
2021-22 42,15,8253,66923,12.354496959191907,
2021-22 43,14,7788,66321,11.76399632092399,
2021-22 44,7,7303,66494,10.99347309531687,
2021-22 45,26,7204,67323,10.73927186845506,
2021-22 46,16,7324,66813,10.9858859802733,
2021-22 47,19,7590,67820,11.219404305514598,
2021-22 48,37,8324,70021,11.940703503234744,
2021-22 49,56,8985,71984,12.55973549677706,
2021-22 50,58,9304,71176,13.153310104529616,
2021-22 51,86,9418,72134,13.17547896969529,
2021-22 52,152,10052,74257,13.741465451068583,
2022-23 01,887,5516,68969,9.283881164001215,
2022-23 02,629,5189,66337,8.770369477064081,
2022-23 03,388,5009,64148,8.413356612832825,
2022-23 04,273,4605,62434,7.813050581413973,
2022-23 05,145,4474,62729,7.363420427553444,
2022-23 06,114,4370,62843,7.135241793039798,
2022-23 07,118,4107,61723,6.845098261588063,
2022-23 08,77,4138,62031,6.794989601973208,
2022-23 09,65,4002,61295,6.635125214128395,
2022-23 10,54,3938,60696,6.577039673125082,
2022-23 11,55,3840,60983,6.387025892461834,
2022-23 12,53,3916,60716,6.536991896699387,
2022-23 13,45,3674,60085,6.189564783223767,
2022-23 14,46,3676,58988,6.309757916864448,
2022-23 15,42,3590,59588,6.095186950392697,
2022-23 16,34,3722,58375,6.434261241970021,
2022-23 17,41,3510,57726,6.15147420573052,
2022-23 18,36,3352,57993,5.842084389495284,
2022-23 19,37,3365,57770,5.888869655530552,
2022-23 20,33,3220,56592,5.748162284421826,
2022-23 21,34,3251,55691,5.898619166472141,
2022-23 22,41,3159,56767,5.637077879754083,
2022-23 23,30,3178,56251,5.703009724271569,
2022-23 24,29,2953,56273,5.299166563005349,
2022-23 25,29,3094,55771,5.599684423804486,
2022-23 26,23,2868,55682,5.19198304658597,
2022-23 27,33,2936,55934,5.308041620481282,
2022-23 28,22,2869,55558,5.203571042874114,
2022-23 29,16,2768,55665,5.001347345728914,
2022-23 30,12,2836,55632,5.119355766465343,
2022-23 31,29,2928,56060,5.274705672493757,
2022-23 32,19,2961,56617,5.2634367769397885,
2022-23 33,22,3038,56569,5.409323127507999,
2022-23 34,22,3111,56408,5.554176712523047,
2022-23 35,19,3141,56146,5.628183664018808,
2022-23 36,33,3337,57192,5.892432508043083,
2022-23 37,38,3412,56627,6.092500044148551,
2022-23 38,27,3285,56883,5.822477717419967,
2022-23 39,32,3436,57172,6.065906387742252,
2022-23 40,28,3544,59545,5.998824418507011,
2022-23 41,56,3560,59717,6.055227154746555,
2022-23 42,57,3831,60078,6.471586936981924,
2022-23 43,96,3665,60012,6.267079917349864,
2022-23 44,156,3779,61008,6.449973773931288,
2022-23 45,228,3859,61033,6.696377369619714,
2022-23 46,258,3951,61607,6.832015842355577,
2022-23 47,429,4310,64611,7.334664376035041,
2022-23 48,851,4654,65760,8.371350364963504,
2022-23 49,1028,4979,67000,8.965671641791046,
2022-23 50,1048,4944,66387,9.025863497371471,
2022-23 51,953,4994,67950,8.752023546725534,
2022-23 52,993,5428,70168,9.150894994869455,
2023-24 01,892,5162,66742,9.070750052440742,
2023-24 02,844,5225,67831,8.947236514278133,
2023-24 03,709,4911,66390,8.465130290706432,
2023-24 04,600,4806,65694,8.229062014795872,
2023-24 05,529,4169,62300,7.5409309791332255,
2023-24 06,440,4111,61689,7.377328210864173,
2023-24 07,445,3902,60336,7.204653937947494,
2023-24 08,401,3837,60482,7.007043417876393,did not exceed the average
2023-24 09,385,3902,59866,7.1609928841078405,did not exceed the average
2023-24 10,387,3698,59181,6.902553184299015,exceeded the average
2023-24 11,307,3541,58415,6.587349139775743,
2023-24 12,244,3443,56611,6.51286852378513,
2023-24 13,216,3434,55957,6.52286577193202,
2023-24 14,183,3247,53973,6.35502936653512,
2023-24 15,155,3012,49354,6.41690643108968,
2023-24 16,111,2313,40849,5.934049793140591,
2023-24 17,53,1337,24395,5.6978889116622256,
2023-24 40,28,3330,57993,5.790354008242374,
2023-24 41,36,3435,58363,5.947261107208334,
2023-24 42,53,3393,58446,5.896040789788866,
2023-24 43,47,3527,58426,6.117139629616951,
2023-24 44,61,3343,58921,5.777227134637905,
2023-24 45,73,3675,60246,6.221159911031437,
2023-24 46,80,3647,59674,6.245601099306231,
2023-24 47,113,3692,59294,6.417175430903632,
2023-24 48,156,4091,61930,6.85774261262716,
2023-24 49,204,4213,63265,6.9817434600490005,
2023-24 50,283,4185,62667,7.1297493098440965,
2023-24 51,448,4318,64312,7.410747605423561,
2023-24 52,690,4667,65135,8.224456897213479,
